"SEAL_ID","SEX","TAG_MATRIX","SURVIVAL_MATRIX","YEAR_BORN","BLACK_MASS","WEAN_MASS","BRANDED","COW_MASS","TAGS_USED","BRANDS_USED","PUP_MATRIX"
12795.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000001000000001000","1997",,,"1",,," M042","0000000000000100000000U000"
12816.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000001110100000000","1997",,,"1",,," M063","00000000000001000U00000000"
12820.00,"0","UUUUUUUUUUUUU0UUUUUUUUUUUU","00000000000001111101010000","1997",,,"1",,," M067","00000000000001000U0U0U0000"
12824.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000001010000000000","1997",,,"1",,," M071","00000000000001000000000000"
13078.00,"0","UUUUUUUUUUUUU0UUUUUUUUUUUU","00000000000001100000000000","1997",,,"1",,," M324","00000000000001000000000000"
13134.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000001000000010100","1997",,,"1",,," M380","000000000000010000000U0U00"
13247.00,"1","UUUUUUUUUUUUU22UUUUUUUUUUU","00000000000001110001000000","1997",,,"1",," O0265 O0266"," M492","00000000000001000000000000"
13570.00,"1","UUUUUUUUUUUUUU0UUUUUUUUUUU","00000000000001100000010000","1997",,,"1",,," D930","000000000000010000000U0000"
13738.00,"1","UUUUUUUUUUUUUUU0UUUUUUUUUU","00000000000001010000000000","1997",,,"1",,," M880","00000000000001000000000000"
13793.00,"0","UUUUUUUUUUUUU1UUUUUUUUUUUU","00000000000001010100000000","1997",,,"1",,," M921","00000000000001000000000000"
13871.00,"0","UUUUUUUUUUUUU0UUUUUUUUUUUU","00000000000001000000000000","1997",,,"1",,," M999","00000000000001000000000000"
2180.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000010000000000000000000",,,,"0",," B4055 B6030",,"000000U0000000000000000000"
2182.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000010000000000000000000",,,,"0",," B4057",,"000000U0000000000000000000"
2184.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000010000000000000000000",,,,"0",," B4059",,"000000U0000000000000000000"
2185.00,"1","UUUUUUUUUUU1UUUUUUUUUUUUUU","00000010000100000000000000",,,,"0",," B4043",,"000000U0000000000000000000"
2188.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000010000000000000000000",,,,"0",," B4065",,"000000U0000000000000000000"
2189.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000010000000000000000000",,,,"0",," B4046",,"000000U0000000000000000000"
2190.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000010000000000000000000",,,,"0",," B4047",,"000000U0000000000000000000"
2192.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000010000000000000000000",,,,"0",," B4049",,"000000U0000000000000000000"
3988.00,"1","UUUUUUUUU1UUUUUUUUUUUUUUUU","00000000010000000000000000","1993","35",,"0",," B6690",,"00000000010000000000000000"
3989.00,"1","UUUUUUUUU111UUUUUUUUUUUUUU","00000000011100000000000000","1993","42","90","1",," B6711"," B741","00000000010000000000000000"
3992.00,"0","UUUUUUUUUUU0UUUUUUUUUUUUUU","00000000010100010000000000","1993","52","156","1",," B6715"," B899","00000000010000000000000000"
3993.00,"1","UUUUUUUUUU11UUUUUUUUUUUUUU","00000000011100001000000000","1993","50","152","1",," B6726"," C029","0000000001000000U000000000"
3182.00,"0","UUUUUUUUU111U0U0UUUUUUUUUU","00000000011101111110000000","1993","42","138","1",," B5564"," B260","000000000100000F0000000000"
3221.00,"0","UUUUUUUUUU1111112UUUUUUUUU","00000000011111111000100000","1993","47","147","1",," B5577 O5096"," B094","0000000001000000M000000000"
3572.00,"1","UUUUUUUUU111UUUUUUUUUUUUUU","00000000011100100000000000","1993","39","112","1",," B5988"," B563","00000000010000000000000000"
5.00,"2","UUUU1UUUUUUUUUUUUUUUUUUUUU","10001000000000000000000000","1984",,,"0",," B7134",,"10000000000000000000000000"
55.00,"0","UUU2UUUUUUUUUUUUUUUUUUUUUU","00010000000000000000000000","1987",,"69","0",," B0044 B0045",,"00010000000000000000000000"
69.00,"1","UUU2UUUUUUUUUUUUUUUUUUUUUU","00010000000000000000000000","1987",,,"0",," B0083 B0084",,"00010000000000000000000000"
6025.00,"0","UUUUUUUUUUU00000UUUU0UUUUU","00000000001111111101100000","1994",,,"1",,," F474","00000000001000UUFU0UU00000"
6027.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000001000000000000000","1994",,,"1",,," F476","00000000001000000000000000"
6029.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000001000000000000000","1994",,,"1",,," F479","00000000001000000000000000"
6031.00,"0","UUUUUUUUUUU0UUUUUUUUUUUUUU","00000000001100000000000000","1994",,,"1",,," F481","00000000001000000000000000"
6032.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000001001010111110000","1994",,,"1",,," F482","00000000001000000UUUUU0000"
6036.00,"1","UUUUUUUUUU0200UUUUUUUUUUUU","00000000001111110000000000","1994",,,"1",,," F488","00000000001000000000000000"
6038.00,"1","UUUUUUUUUUU0UUUUUUUUUUUUUU","00000000001100000000000000","1994",,,"1",,," F492","00000000001000000000000000"
5674.00,"0","UUUUUUUUUU22U2U2UUUUUUUUUU","00000000001101010000000000","1994","35","132","1","458"," B7938 B9948 W0621"," F987","000000000010000F0000000000"
7348.00,"0","UUUUUUUUUUUU1U22UUUUUUUUUU","00000000000110111000000010","1995","35","108","1",," B8300 B8301"," J208","000000000001000U00000000U0"
7349.00,"1","UUUUUUUUUUU2UUUUUUUUUUUUUU","00000000000110000000000000","1995","46","116","1","380"," B8302 B8303"," J436","00000000000100000000000000"
7351.00,"1","UUUUUUUUUUU2UUUUUUUUUUUUUU","00000000000100000000000000","1995","35","170","1",," B8306 B8307"," J1330","00000000000100000000000000"
7355.00,"1","UUUUUUUUUUU122U2UUUUUUUUUU","00000000000111011000000000","1995","36","95","1",," B8314 B8315"," J159","00000000000100000000000000"
7356.00,"0","UUUUUUUUUUU12UUU22UUUUUUUU","00000000000110001100000000","1995","44","112","1","517"," B8316 B8317"," J144","0000000000010000FU00000000"
7357.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000100000000000000","1995","36","136","1",," B8258 B8259"," J012","00000000000100000000000000"
7203.00,"0","UUUUUUUUUU2222222UUUUUUUUU","00000000001111111000000000",,,,"0",," B6078 B6079",,"0000000000UUMUUUM000000000"
8775.00,"1","UUUUUUUUUUUU00UUU0UUUUUUUU","00000000000111111100000000","1995",,,"1",,," L604","00000000000100000U00000000"
8776.00,"1","UUUUUUUUUUU0UUUUUUU0UUUUUU","00000000000100001111100000","1995",,,"1",,," L605","0000000000010000000UU00000"
8778.00,"1","UUUUUUUUUUU0UUUUUUUUUUUUUU","00000000000100010000000000","1995",,,"1",,," L607","00000000000100000000000000"
8779.00,"1","UUUUUUUUUUUU00U0UUUUUUUUUU","00000000000111010000000000","1995",,,"1",,," L608","000000000001U0000000000000"
8780.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000100100000000000","1995",,,"1",,," L609","00000000000100000000000000"
8784.00,"1","UUUUUUUUUUUUUUU0UUUUUUUUUU","00000000000101010000000000","1995",,,"1",,," L613","00000000000100000000000000"
8785.00,"1","UUUUUUUUUUU1UUUUUUUUUUUUUU","00000000000100000000000000","1995",,,"1",,," L614","00000000000100000000000000"
8786.00,"1","UUUUUUUUUUU0UUUUUUUUUUUUUU","00000000000101000000000000","1995",,,"1",,," L615","00000000000100000000000000"
8788.00,"1","UUUUUUUUUUU00UUUUUUUUUUUUU","00000000000110000000000000","1995",,,"1",,," L617","00000000000100000000000000"
10052.00,"0","UUUUUUUUUUUU1UUUUUUUUUUUUU","00000000000010001100000000","1996","38","119","1",," O1569 O1570"," K624","0000000000001000UU00000000"
10222.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000010000000000000","1996","42","110","1",," O1907 O1908"," K716","00000000000010000000000000"
10224.00,"0","UUUUUUUUUUUU2UUU1UUUUUUUUU","00000000000011011101000000","1996","44","149","1",," O1911 O1912"," K933","0000000000001000000U000000"
10226.00,"0","UUUUUUUUUUUU0UUUUUUUUUUUUU","00000000000010000000000000","1996","29",,"1",," O1915 O1916"," K706","00000000000010000000000000"
10227.00,"1","UUUUUUUUUUUU22UUUUUUUUUUUU","00000000000011000000100000","1996","32","116","1",," O1917 O1918"," K531","0000000000001U000000000000"
10231.00,"0","UUUUUUUUUUUU2UUUUUUUUUUUUU","00000000000010000000000000","1996","29",,"0",," O1935 O1936",,"00000000000010000000000000"
10233.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000010000001000000","1996","50","146","1",," O1939 O1940"," K618","0000000000001000000U000000"
10234.00,"0","UUUUUUUUUUUU2U2UUUUUUUUUUU","00000000000010101100000000","1996","42","94","1",," O1941 O1942"," K335","0000000000001000UU00000000"
10599.00,"0","UUUUUUUUUUUU0U0UUUUUUUUUUU","00000000000011101101000000","1996",,,"1",,," N049","0000000000001000UU0U000000"
14216.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1951",,,"0",," MA216",,"00000000000000000000000000"
14396.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1951",,,"0",," MA396",,"00000000000000000000000000"
14508.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1952",,,"0",," MBAN",,"00000000000000000000000000"
