Brand	Tag 1	Tag 2
	W3423	W3424
	W3762	W3763
	W4230	W3584
	W3696	W3697
	W3644	W3645
	W2974	W2975
	W3853	W3854
	W3851	W3852
	W3253	W3254
	W3565	W3566
	W3943	W3944
	W3917	W3918
	W3889	W3890
	W3988	W3989
	W3843	W3844
	W3325	W3326
	W3577	W3578
	W3359	W3360
	W3505	W3506
	W4026	W4028
	W4029	W4030
	W4004	W4005
	W3980	W3981
	W3990	W3991
	W4237	W4007
	W3827	W3828
	W4024	W4025
	W3998	W3999
	W4088	W4089
	W4077	W4078
	W4037	W4038
	W4083	W4084
	W4081	W4082
	W4065	W4066
	W4075	W4076
	W4079	W4080
	W4118	W4119
	W4197	W4198
	W4191	W4231
	W2442	W2443
		
